182,AURUM,108,110.35,101.45,101.45,101.45,106.75,258683,26712115,2398
183,AURUMPP,30.95,30.95,29.9,30.95,30.95,29.5,241192,7458352.85,283
184,AUSOMENT,70.3,79.9,70.1,75.45,73.35,71.3,6901,510546.9,223
185,AUTOAXLES,1818.35,1861,1808,1851.95,1852.1,1800.35,45799,84252909.35,6150
186,AUTOBEES,122.39,125,121.83,124.84,124.74,122.39,126586,15666996.85,792
187,AUTOIND,60.8,63.8,59.45,63.8,63.8,60.8,40154,2507004.45,521
188,AVADHSUGAR,549,559.65,539.15,554.05,554,549.8,61756,34055974.9,3966
189,AVANTIFEED,451.75,454.15,449.15,451.3,449.8,449.5,127060,57391235.65,5799
190,AVROIND,118.95,121.25,115,116.8,115,116.35,36902,4373521.65,150
191,AVSL,66.5,66.5,66.5,66.5,66.5,65.85,3000,199500,1
192,AVTNPL,95.5,96.85,93.75,94.85,94.55,94.55,110251,10518208.4,1645
193,AWHCL,294.1,294.7,288.35,293.35,293,294.7,26284,7655388.9,2183
194,AWL,631,644,616.1,623.7,625,627.85,609670,380739843.5,17730
195,AXISBANK,670,674.2,659.1,662.2,662.5,668.25,6015057,3992137521,109844
196,AXISBNKETF,350,350.02,347.37,349.01,349.22,349.44,229,79857.66,24
197,AXISBPSETF,10.37,10.41,10.34,10.37,10.36,10.33,4727890,49134670.25,474
198,AXISCADES,121.65,123.25,119.6,120.5,120,122.25,13941,1688487.45,443
199,AXISCETF,72.25,73.39,72.1,72.96,73,71.9,17498,1272383.72,302
200,AXISGOLD,43.16,43.54,43.11,43.17,43.21,43.41,42140,1822446.21,1035
201,AXISHCETF,79.42,79.98,79.2,79.44,79.66,79.53,2106,167364.9,61
202,AXISNIFTY,170.2,170.2,168.84,169.85,169.94,168.73,1084,183700.61,100
203,AXISTECETF,267.62,274.6,267,270.76,271.5,271.94,3637,983848.57,171
204,AXITA,246,256.75,246,256.7,256.75,244.55,26780,6824661.8,300
205,AYMSYNTEX,87.05,89.65,87.05,89.1,89,87.9,10212,906137.55,228
206,BAFNAPH,112.35,112.35,110.1,111,112.3,112.35,418,46389.2,21
207,BAGFILMS,5.9,6.15,5.85,5.9,5.95,6,114682,677865.7,250
208,BAJAJ-AUTO,3863,3919,3861,3913.35,3910.1,3863.2,281730,1098908046,23257
209,BAJAJCON,165.55,167.15,161.5,162.75,162.05,163.85,762437,124991710.6,10938
210,BAJAJELEC,1138,1187.9,1128.5,1176.3,1172.15,1138.85,162186,188401237.6,11882
211,BAJAJFINSV,11797,11870.8,11680,11840.25,11831,11726.25,171104,2013552475,27221
212,BAJAJHCARE,337.4,353.85,327.25,350.7,346.7,338.1,79106,27026933.65,2584
213,BAJAJHIND,12.2,12.25,11.85,12,11.95,12.05,4473596,53768975.65,6506
214,BAJAJHLDNG,4755.4,4804.85,4726,4753.45,4750.1,4746.3,9648,45853584.95,2393
215,BAJFINANCE,5855,5928.25,5812.85,5915.2,5917,5830.85,569859,3344523866,41951
216,BALAJITELE,42.9,44.4,42.3,42.55,42.6,42.5,130391,5589549.9,1444
217,BALAMINES,3072,3074.25,2982,2999.5,2990,3050.75,42811,129170720.5,7753
218,BALAXI,383,386.5,370.25,378.45,370.25,382.5,416,157736.8,58
219,BALKRISHNA,42.85,42.85,42.85,42.85,42.85,45.1,4774,204565.9,37
220,BALKRISIND,2290,2301.55,2282.4,2294.55,2292,2284.35,148568,340796724.9,7955
221,BALMLAWRIE,110.25,111.15,108,109.1,109.4,110.55,138057,15108072.1,1850
222,BALPHARMA,100.55,104.8,99.5,100.75,100.85,99.6,155371,15891416.6,2612
223,BALRAMCHIN,360,370,358.1,368.2,367.9,360.3,1788356,653600806.5,24481
224,BANARBEADS,73,77.95,73,73.8,73.55,72.15,16664,1243451.5,385
